경력,공고명,기업명,주요 업무,자격 요건,우대사항,기술
경력,백엔드 엔지니어,뉴닉,"1. 뉴닉의 백엔드 엔지니어는 뉴닉 앱과 웹 서비스의 백엔드 영역을 만들고 운영해요.
• 비즈니스 요구사항에 맞는 기술적인 솔루션을 찾고 확장성을 고려한 시스템을 만들어요.
• 새로운 피쳐의 출시와 버전 업그레이드에 유연한 효율적인 API를 설계해요.

2. 서비스의 장애를 감지하고 중단 없이 제공할 수 있도록 대응해요.
• 트래픽 증가에도 안정적으로 동작할 수 있도록 아키텍처를 설계해요.
• 내부 데이터 로깅과 알람 시스템을 갖추고 서비스 이상 현상을 빠르게 감지하고 안정화해요.

3. 시스템의 보안 체계를 관리하고 운영해요.
• 사용자 인증과 권한 관리 등, 서비스가 다루는 개인정보를 책임지고 관리해요.
• 인앱결제 및 웹 결제 프로세스를 구축하고 운영해요.

4. 팀의 기술적인 방향성을 정립하고 비즈니스 성장을 뒷받침해요.
• 새로운 기술을 도입하고, 팀 내 코드 리뷰 및 기술 공유를 통해 조직의 기술 성장을 이끌어요.
• 뉴닉 팀의 효율적인 업무를 위해 기술로 해결할 수 있는 방법을 고민하고 제안해요.","1. 백엔드 개발 경험 3년 이상, 또는 그에 준하는 경험이 있는 분
2. Python, Node.js, Go, Java 등 한 가지 이상의 언어에 능숙하며, 실무에서 사용해 본 경험이 있음
3. Django, Spring, NestJS 등의 프레임워크를 사용하여 개발한 경험이 있는 분
4. 확장성과 유지보수를 고려한 아키텍처 설계 경험이 있는 분
5. 빠르고 효율적인 의사소통과 판단으로 팀의 의사결정에 기여할 수 있는 분
6. 클라우드(AWS) 기반 인프라 구축과 운영 경험이 있는 분","1. 검색, 피드 서비스 관련 업무 경험이 있는 분
2. 데이터베이스에 대한 높은 이해와 복잡한 SQL 쿼리 작성 능력을 갖추신 분
3. 대규모 트래픽 처리가 가능한 시스템을 개발, 운영한 경험이 있는 분
4. 빠른 개발 주기와 MVP 출시 경험이 있고 애자일한 문화에 익숙한 분
5. 서비스 개선을 위한 데이터 기반 의사결정에 익숙한 분
6. CI/CD 파이프라인 구축 및 배포 경험이 있는 분","GitHub, MySQL, JavaScript, Python, SQL, AWS, Spring Framework"
경력,Server Engineer (숙박플랫폼개발),여기어때컴퍼니,"• 서비스 진입부터 예약 페이지 진입 전까지의 전시 업무 담당
• 여기어때 전시 서비스 전반의 백엔드 시스템 개발
• 대용량 트래픽에도 흔들림 없는 확장성과 안정성을 갖춘 시스템 개발
• 다양한 부서와 데이터의 동기화를 위한 데이터 파이프라인 구축
• 지속적인 모니터링을 통해 이슈 추적과 성능 개선 업무 진행","• Java, Spring 프레임워크(Spring Boot)에 익숙하고, Kotlin 또는 그외 개발언어 사용 경험이 있는 분
• MySQL 및 MongoDB, Redis 경험이 있는 분
• 기본적인 Linux/Unix 명령 사용 능력을 갖춘 분
• Microservices 아키텍처 기반의 시스템 개발 경험이 있는 분
• Git 형상관리 경험이 있는 분
• AWS를 활용한 개발, 운영 경험이 있는 분","• 숙박, 이커머스 도메인 개발 경험이 있는 분
• 데이터 동기화에 대한 이해도가 있는 분
• 대용량 트래픽 처리, 분산처리 시스템 경험이 있는 분
• 객체지향 개발 및 테스트 코드 작성에 숙달된 분
• 각종 장애 극복 경험이 있는 분
• 레거시 코드를 개선한 경험이 있는 분
• Jira 활용 및 Confluence 문서화에 익숙한 분",
경력,[Align AI] 프로덕트 백엔드 엔지니어,콕스웨이브,"• Go로 작성된 Align 제품 백엔드 api, job을 설계하고, 개발하고, 운영해요.
• 사용자 피드백 및 시장 요구 사항을 토대로 제품 고도화 및 실험을 빠르게 반복하며, 기획 단계부터 기술 의사 결정에 주도적으로 참여해요.
• 더 큰 시장에 대응하기 위해, 스케일 가능한 아키텍쳐를 고민하고, 안정적이고 빠른 서비스를 만들어가요.","• 3년 이상의 백엔드 개발 경력을 보유하고 있어요.
• Go 언어를 이용한 개발 경험이 있거나, Go 언어에 대한 관심과 학습 의지가 있어요.
• RDBMS, NoSQL 등 다양한 데이터베이스를 이해하고 데이터 모델링 경험을 보유하고 있어요.","• Protobuf 등 IDL을 전사적으로 표준화하여 서비스를 운영해본 경험이 있어요.
• 대용량, 고가용성 시스템을 설계, 운영해본 경험이 있어요.
• OLAP(ClickHouse 등) 데이터베이스에서의 모델링, 그리고 활용한 서비스 개발 경험이 있어요.
• Event-driven 아키텍쳐를 설계, 개발, 운영해본 경험이 있어요.","Azure, AWS, Go, PostgreSQL, GCP"
경력,백엔드 개발자,로그프레소,"• 정보보호통합플랫폼 로그프레소 소나 백엔드 및 자체 데이터베이스 엔진 개발
• 매일 1TB 이상 수집되는 빅데이터를 대상으로 정규화, 위협 탐지/분석/대응 자동화, 대시보드/보고서 기능 설계 및 개발
• 다양한 보안 솔루션 및 서비스의 로그와 API를 연계하여 SOAR 앱 설계 및 개발
• 백엔드와 프론트엔드 간의 REST API 인터페이스 구현
• 데이터베이스 엔진 개발: 쿼리, 스토리지, 인덱스, 복제, 스트림 및 CEP 엔진
• 쿼리 등 리그레션 테스트 개발
• 개인의 역량 혹은 관심에 따라 연구소 내부 개발 프로젝트 매니징 업무도 선택할 수 있음","• 관련 경력 5년 이상이신 분
• 컴퓨터구조, 운영 체제, 네트워크, 데이터베이스 과목을 수강하셨거나 그에 준하는 경험 혹은 실력을 보유하신 분
• 자바 기반 솔루션 개발 경험이 있으신 분
• 지속적인 학습이 가능하신 분
• 네트워크 및 통신에 대한 기술적 이해도가 있으신 분
• 멀티스레드 동시성 제어 및 비동기 프로그래밍의 이해도가 높으신 분
• git 혹은 기타 버전관리 시스템을 사용한 프로젝트 경험이 있으신 분
• 다양한 분야의 사람들과 협업하기 위한 유연하고 친화적인 커뮤니케이션 능력을 보유하신 분
• 문제의 근원적 해결에 대한 끈기와 의지가 있으신 분
• 기록과 공유의 중요성을 이해하고 실천하시는 분
• MS PPT로 포트폴리오를 작성한 후 반드시 PDF로 변환하여 제출해 주세요.
※ MS PPT 외 양식으로 작성하여 변환한 파일은 검토하지 않습니다.
• (모국어가 한국어가 아닌 경우) TOPIK 6급 또는 한국어로 동료들과 업무 회의 진행에 무리가 없으신 분","• 정보보안분야 domain-knowledge 를 보유하셨거나 보안관제, SIEM 관리 및 운영을 해보신 분
• 컴퓨터 공학 석사 졸업 예정이시거나 기수료/졸업하신 분
• 컴파일러, 데이터베이스, 운영체제, 분산 컴퓨팅 이론에 대한 이해도가 높으신 분
• 정보올림피아드, ACM ICPC 등 PS 대회 입상 경력이 있으신 분
• 데이터베이스 관련 연구를 해보셨거나 영문 논문 독해 및 구현 경험이 있으신 분
• 상용/오픈소스 검색엔진, 데이터베이스, 인메모리 데이터 그리드 엔진 개발 혹은 패치 경험이 있으신 분
• 데이터 모델링 및 SQL 쿼리 최적화 경험이 있으신 분
• OSGi, Maven, Jenkins 기반 개발 및 배포 경험이 있으신 분
• 운영 환경의 JVM GC 원인 분석 및 성능 최적화 경험이 있으신 분
• 멀티스레드 동시성 제어 및 비동기 프로그래밍의 이해도가 높으신 분
• 매뉴얼/기술블로그 작성 경험이 있으시거나 운영하고 있으신 분
• 네트워크 프로토콜에 대한 RFC 수준의 이해도가 높으신 분 (WebSocket, SNMP, NetFlow/IPFIX 등)
• 4~5인 이상 규모 프로젝트 관리 경험이 있으신 분",
경력,Back-End Engineer,불마켓랩스,"- 가상화폐 거래/시세/자산/회원 서비스 API 개발
- 매칭엔진 개발 및 고도화","• 7년 이상 벡엔드 서비스 개발 및 유지 관리 경험을 가지신 분
• 실제 고객에게 서비스 되는 프로젝트를 참여한 경험이 있으신 분
• RDBMS, Queue, Cache 등을 사용하여 Restful API를 개발해보신 분
• 주도적으로 문제를 발견하고 분석해서 해결 방법을 제안할 수 있으신 분
• 새로운 기술을 도입하여 팀의 생산성을 개선 해본 경험이 있으신 분
• 다양한 부서와 협업하기 위한 원활한 커뮤니케이션 능력을 갖추신 분","- 커머스, 가상화폐, 핀테크 도메인 경험이 있으신 분
- 코드 리뷰와 리팩토링으로 코드 퀄리티를 개선한 경험이 있으신 분
- Clean Architecture / Hexagonal architecture 에 대한 경험이 있으신 분
- MSA (Micro Service Architecture)로 전환 개발, 또는 운영 경험이 있으신 분
- Docker 또는 Kubernetes 기반 서비스 경험을 보유하신 분
- AWS, GCP 등 클라우드 플랫폼 사용 경험 및 SaaS에 대한 이해를 가지고 계신 분","Java, Spring Boot, Go, MySQL, RocketMQ, Github action, ArgoCD, Kubernetes, Kotlin, Rust, Kafka, DynamoDB"
경력,백엔드 개발자,포토위젯,"ㆍKotlin Spring Boot 기반의 API 서버 개발 : PhotoWidget 서비스 API 개발
ㆍAWS 기반 DevOps 구축 : 모니터링 , CI/CD 등 서비스 개발 및 운영에 필요한 환경 구축
ㆍAdmin 개발 : PhotoWidget 운영에 필요한 Admin 개발 ( HTML , Javascript )","ㆍ4년 이상 Kotlin 및 Java (JPA / SpringBoot) 기반의 기술 생태계 경험이 있으신분
ㆍSpring Boot / Batch 기반의 서비스 개발 경험 이 풍부한 분
ㆍ서비스 장애와 문제 해결을 한 경험이 있으신분","ㆍAWS의 서비스를 이용한 개발 경험이 있으신분
ㆍElasticSearch , Redis 경험이 있으신분
ㆍKubernetes , Docker 환경에 익숙하신 분
ㆍHTML , Javascript 을 활용한 웹 페이지 개발 경험이 있으신분",
경력,주니어 백엔드 개발자,아트라미,"• 뚜누 서비스 server API 개발 및 server 최적화
• 뚜누 서비스 관리 솔루션 server API 개발
• 뚜누 서비스 성능/품질 문제 개선
• 사내 오피스 프로그램 개발","• 실무 개발 경력 2년 이상 또는 그에 준하는 역량이 있는 분
• REST API 기반 설계 경험이 있는 분
• AWS를 사용한 경험이 있으신 분
• Docker를 사용한 경험이 있으신 분","• (우대) CI/CD 파이프라인 구축 및 운영
• (우대) Cafe24를 사용해보신 분
• (우대) 최신 기술과 트렌드에 대한 관심이 많으신 분
• (우대) 대구에서 근무가 가능하신 분","NestJS, TypeScript, Python, PostgreSQL, Redis, Docker, K8s, Git, AWS, GitHub, Linux, JavaScript, SQL"
경력,패션 플랫폼 Node.js 백엔드 개발자,페칭,"[상세 업무 내용]
1. 백엔드 개발자는 페칭의 기반 기술을 담당하는 매우 중요한 포지션
2. 페칭 서비스 Node.js 기반 API 개발
3. Node.js 기반 크롤러 개발
4. 관리자 페이지 개발
5. AWS 인프라 구축 및 관리

[사용 기술 스택]
• 백엔드 : Node.js, TypeScript, Nest.js, MySQL (AWS Aurora)
• 인프라 : AWS RDS, ECS, Elastic Cloud, RabbitMQ
• 프론트 : Next.js, React Native
• Notion으로 프로젝트 관리 및 Slack으로 소통","• 4년 이상 Node.js 백엔드 개발 경험이 있으신 분
• 기본 CS 지식(OS/Network/DB/Data Structure/Algorithm등)을 보유하고 실무에 활용 가능하신 분
• 여러 Server Language (JS/Python/JAVA/Kotlin/GO/C++ 등)중 1개 이상 능숙한 언어를 보유하신 분
• 여러 Web Framework (Nest/Django/FastAPI/Spring 등)중 1개 이상 능숙하게 사용하실 수 있는 분
• 웹/앱 서비스 백엔드 시스템 개발 경험 보유
• AWS 인프라 환경에서 서비스 개발 경험 보유
• MySQL(Maria DB)등 RDBMS와 NoSQL 사용 경험 보유
• Git, SVN등의 버전 관리 시스템 사용 경험 보유
• Docker 사용 경험 보유
• 다양한 가이드를 통해 능동적으로 업무를 진행하실 수 있는 분
• 여러 상황에서 근본적인 문제를 도출하고 해결하실 수 있는 분
• Technical 요소를 담은 내용을 글 또는 대화로 의사전달 하거나 문서화를 할 수 있는 분
• 협업 도구 사용에 능숙하고 이해 관계자와의 능숙한 협업이 가능하신 분","• 클린 코드를 지향하며 코드 리뷰를 두려워하지 않으시는 분
• 웹 크롤러 개발 경험 보유
• React, Next.js 개발 경험 보유","Git, GitHub, ExpressJS, MySQL, JavaScript, Node.js, AWS, Nest.js"
경력,[매장팀] Senior Back-End Engineer,한국신용데이터(KCD),"포스 백엔드 아키텍처 설계 및 개발
검색 키워드 관련 LLM 튜닝
각 지도앱 데이터 분석 및 처리
리뷰 데이터 분석 및 가공
KCD 공동체의 데이터 연동 및 전송, 관리
매장 데이터 가공 및 관리","[기술 및 경험]
Java/Kotlin + Spring Framework로 서비스를 개발한 경험 (최소 7년 이상)
PostgreSQL, MySQL 등 DB 데이터 모델링 경험
비즈니스 요건을 빠르게 이해하고 능숙하게 데이터 모델과 API를 디자인할 수 있는 능력
복잡한 비지니스 로직을 정확하고 빠르게 이해하며 기술 적자를 쌓지 않는 문제 해결 능력
복잡한 시스템에 대한 초기 설계를 진행해본 경험
빠르고 신중한 의사결정으로 업무 진행 중 병목을 효과적으로 해소하는 능력

[태도]
실패를 두려워하지 않고, 반드시 결과까지 만들어 내는 도전정신을 가지고 있는 분
사업초기에 직면할 수 있는 다양한 이슈들에 유연하게 대응하며 문제 해결에 집중할 수 있는 분
기대하지 않았던 결과를 마주했을 때, 책임 소재를 묻기보다 근본적인 원인을 찾아 개선하는데 주력할 수 있는 분
구성원들의 의견을 존중하고, 겸손한 커뮤니케이션 능력을 가지고 팀원들의 신뢰자산을 쌓을 수 있는 분","자영업에 대한 이해도
포스, 테이블 오더 등에 대한 이해와 경험
B2B서비스 또는 SaaS에 대한 이해와 경험
대량 데이터 처리 및 관리 경험",
경력,뱅카우 백엔드 개발자,스탁키퍼 (뱅카우),"• JAVA, Spring Boot, Spring Data JPA 기반의 웹 및 서버 애플리케이션 개발 및 유지보수
• 기본적인 인프라 및 CI/CD(AWS ECS, Docker, Git)
• 요구사항 분석 및 도메인 이해 후 API 설계
• 지속적인 리팩터링과 코드 품질 향상
• 외부 증권사 협업 및 연동
• 성능 최적화 및 대용량 트래픽, 데이터 처리","라이브 서비스 운영 경험이 있는 분
트래픽 관리, 모니터링, CI/CD 구성 및 관리 경험
성능 최적화 및 대용량 트래픽을 고려한 데이터 처리","Back-End Java기반 스킬셋 보
라이브 서비스 운영 경험이 있으신 분
DDD에 관심이 있으신 분
리팩토링에 관심이 있으신 분
자동화된 테스트코드에 관심이 있으신 분",
경력,백엔드 개발(WEMIX PLAY),위메이드(WEMADE),"• Wemixplay webshop 개발
• Wemixplay console 백엔드 개발
• PG사 연동 백엔드 개발
• 게임사 인터페이스 개발
• 게임플랫폼 백엔드 개발","• 경력 3년 ~ 7년이신 분
• Java, Spring, Spring Boot 개발 가능하신 분
• DB, NoSQL Database 사용 가능하신 분
• REST API 개발 능통하신 분
• MVC 기반의 웹서비스 구축 가능하신 분
• 원만한 커뮤니케이션이 가능하신 분","• 대용량 데이터베이스 경험 있으신 분
• Blockchain 서비스 개발 경험 있으신 분
• 멀티 스레드 개발 경험 있으신 분","Java, MVC, NoSQL, Spring Boot"
경력,Backend Developer (5-12년),크몽(kmong),"• 도메인 주도 설계 및 클린 아키텍처 지향 개발
• 기존 PHP 서비스 운영 및 Kotlin 기반의 마이크로서비스로 전환
• 기존 크몽 프로덕트 유지 보수
• AWS 기반 제품 인프라 운영 및 모니터링","• 5년 이상 12년 이하의 경력이 있는 분
• Kotlin/Java Spring 활용하여 시스템 개발 경험이 있는 분
• 도메인 주도 설계 & 개발에 대한 이해가 있는 분
• 지속가능한 단위 테스트 개발에 대한 이해가 있는 분
• 기존 시스템의 구조를 분석하여 재작성하고 개선하는 일을 즐기는 분
• E-Commerce를 경험하고, 이해하고 있는 분
• AWS 환경에서 다양한 서비스를 운영하고 구축한 경험이 있으신 분
• 대용량 서비스에 대한 경험이 있으신 분
• 개발팀 이외의 팀과 협업을 하더라도 원활하게 커뮤니케이션 할 수 있는 분
• 동료에게 본인의 지식을 잘 전파 할 수 있는 분
• 지속적으로 자기개발을 하는 분
• 문제에 대해서 심도있게 고민하고, 해결해 본 경험이 있는 분","• 기존 시스템을 MSA 환경으로 전환한 경험이 있으신 분
• 대용량 서비스 개발 또는 운영 경험이 있으신 분
• 이벤트 드리븐 아키텍처에 대한 경험이 있으신 분",
경력,Back-end Developer (Junior),비마이프렌즈,"• 커머스 도메인내의 백엔드 개발을 담당합니다.
• AWS EKS 를 기반으로 한 크리에이터 이코노미 SaaS 개발에 참여할 수 있습니다.
• 글로벌 서비스를 개발 / 운영할 수 있습니다.","• 학력 및 전공 무관
• Kotlin 혹은 Java 백엔드 개발 경험 3년 이상이신 분
• 클라우드 네이티브 환경에서 개발 경험이 있으신 분
• RDB 혹은 NoSQL DB 개발 경험이 있으신 분
• 타 직무 수행자와의 원활한 커뮤니케이션을 하실 수 있는 분
• 코드 리뷰에 대해 열린 마음을 소유하고 계신 분
• 개발 업무를 좋아하고 업무 수행 과정에서 동료들과 함께 성장한다는 믿음을 보유하신 분","• 서비스 설계부터 서비스 오픈까지 경험이 있으신 분
• 이벤트 기반 아키텍처 및 비동기 처리 시스템 운영 경험이 있으신 분
• ORM (JPA) 기반의 개발 경험이 있으신 분

[필요 역량]
• Test Code 작성하는 것을 좋아합니다.
• Spring Framework 에 대한 높은 이해도가 있습니다.
• 긍정적인 관점으로 상황과 업무를 바라보는 태도를 가지고 있습니다.
• 해야 할 일이나 문제를 스스로 찾아서 처리하는 능력이 있습니다.
• 잘 모르는 부분은 팀원들에게 모른다고 말할 수 있는 자신감이 충분합니다.",
경력,Backend Engineer,티맵모빌리티,"• 티맵 공통 시스템(인증, 약관, 회원 등)의 백엔드 서버를 설계, 개발 및 운영합니다.
• 다양한 신규 서비스에서 요구하는 기능을 아키텍처 설계부터 개발, 배포, 운영까지 전반적인 라이프사이클을 주도적으로 수행합니다.
• 고가용성(HA) 및 무중단 서비스 운영을 위한 최적화, 성능 개선, 장애 대응 및 모니터링 등 안정적인 서비스 제공을 위한 다양한 기술적 활동을 수행합니다.","• Backend 개발 경력 5년 이상이거나 이에 준하는 경험을 보유하신 분
• Public Cloud 환경에 대한 이해 및 실무 경험이 있으신 분
• 대용량 트래픽을 처리할 수 있는 아키텍처 설계 및 고성능 시스템 개발 경험을 보유하신 분
• 다양한 도메인의 전문가(프론트엔드, 데이터, 인프라 등)와 원활한 협업이 가능한 커뮤니케이션 역량을 갖추신 분

• [사용 기술] Java, Kotlin, Python, Spring Framework, Docker, EKS, RDB, NoSQL, Redis, Kafka, Airflow, OpenSearch 등","• 대규모 트래픽을 처리하는 서비스의 설계, 개발 및 운영 경험을 보유하신 분
• AWS 기반의 클라우드 환경에서 애플리케이션을 설계, 개발, 운영한 경험이 있으신 분
• 컨테이너 오케스트레이션 환경(Kubernetes 등)에서 MSA(Microservices Architecture) 시스템을 설계 및 운영해보신 분",
경력,Backend Engineer (Go),센트비(Sentbe),"[기술 스택&사용 툴]
• Golang 1.22+
• Gin, gRPC, gRPC-Gateway
• AWS EKS(k8s), PostgreSQL, Redis
• Git, Docker, Github Action, ArgoCD
• Jira, Confluence, Slack


[합류 후 담당 업무 입니다]
• SentBe 글로벌 확장 및 파트너 연계를 위한 백엔드 시스템을 개발 및 운영합니다
• 센트비 구성원이 사용하는 백오피스 도구의 개발과 유지 보수를 담당합니다
• 비즈니스 요구 사항에 따른 적합한 개발 방법 및 프로세스를 설계합니다
• 단순한 유지 보수가 아닌 고객의 문제를 함께 정의하고, 기술적 해결책을 제안 및 고도화합니다","• 서비스 개발 및 운영 경험이 6년 이상 있으시거나 그에 준하는 역량을 갖추신 분
• Golang을 활용한 개발 및 운영 경험이 1년 이상 있으신 분
• 복잡한 레거시 환경에서 시스템 개선 경험이 있으신 분
• 도메인을 빠르게 이해하고 설계부터 구현까지 전 과정을 진행한 경험이 있으신 분
• 주도적으로 문제를 정의하고 해결책을 제안할 수 있는 분","• Java/Spring 서비스 경험이 있으신 분
• 대규모 데이터 및 트래픽 처리 운영 경험이 있으신 분
• 글로벌 서비스 개발 및 운영에 능숙하신 분
• DDD(Domain Driven Design)에 대한 이해도가 있으신 분
• 고객의 관점에서 문제를 해결하기 위해 기술적으로 고민하시는 분
• 수준 높은 코드 리뷰 문화를 중요하게 생각하시는 분
• 예상치 못한 결과에 대해 책임을 묻기보다 원인을 분석하고 더 나은 결과를 도출하려는 태도를 가지신 분
• 존중과 배려를 기반으로 커뮤니케이션하며 계획을 바탕으로 투명한 공유를 통해 협업하시는 분
• 동료와 함께 성장의 중요성을 이해하고 학습을 통해 성장하고자 하는 욕구가 있으신 분","Confluence, Git, GitHub, JIRA, Redis, AWS, Docker, Golang"
경력,백엔드 개발자,픽스커뮤니케이션,"• 서비스 요구사항 분석 및 설계
• ERP 서비스 유지/보수
• 고객이 만족할 수 있는 프로그램을 재밌게 개발
• PHP, RDBMS 유경험자 우대",• 개발이 즐거운 개발자,"• PHP, RDBMS 유경험
• 적극적으로 업무를 처리하며 커뮤니케이션이 원활한 분
• Git, Figma, ERD, Notion 등에 익숙한 분","Git, Linux, MySQL, JavaScript,PHP, Python, SQL, Docker"
경력,Java(Back-End)개발자,제네시스네스트,Spring기반의 Back-End개발,"• 기본적인 전산학적 지식에 대한 이해도 중요.
• Java / Linux 기반의 서버 개발 경험
• Spring 기반 서비스 개발 경험",,"Java, Spring Boot"
경력,"Software Engineer, Back-end",피에로컴퍼니,"• 전자기기 구독 플랫폼 ‘폰고(phoneGO)’ 서비스의 백엔드 유지보수 및 개선
• ‘폰고(phoneGO)’ 백오피스(관리자 서비스)에 대한 백엔드 설계, 구현, 테스트, 배포
• CI/CD 파이프라인 구축 및 관리
• 코드 리뷰를 통해 다른 엔지니어와 협업","• 컴퓨터공학과 전공
• 2년 이상의 웹 백엔드 개발 경험 혹은 그에 준하는 실력
• Git 등의 분산 버전 관리 시스템 이용에 능숙한 분
• Python 및 Django 또는 이에 상응하는 개발 경험
• RESTful API 설계 및 구현 경험
• 웹 개발 전체 프로세스(디자인, 설계, 구현, 테스트, 배포, 운영)에 대한 높은 이해
• 자신이 만드는 서비스에 대한 책임과 열정을 가지고 주도적으로 개발, 개선할 수 있는 분","• Django Framework 에 대한 깊은 이해 및 경험 우대
• PostgreSQL 에 대한 깊은 이해 및 경험 우대
• Docker, Kubernetes 환경에 대한 깊은 이해 및 경험 우대
• CI/CD 파이프라인 구축 경험 우대
• AWS 등 클라우드 서비스에 대한 경험 우대
• Datadog 등 모니터링 서비스에 대한 경험 우대
• 테스트 코드 작성 및 테스트 자동화 경험 우대
• 기획 및 설계에 적극적인 참여 경험 우대",
경력,[hourplace] Back-end 개발자,먼치팩토리,"아워플레이스의 백엔드 개발자는 플랫폼의 핵심 시스템을 설계, 구축, 유지 관리하는 중요한 역할을 담당합니다. 안정적이고 확장 가능한 인프라를 제공하며, 데이터 흐름을 최적화하고 사용자 경험을 뒷받침하는 API를 개발합니다. 특히 사용자 맞춤형 경험을 제공하기 위해 노출 알고리즘 개발 및 최적화에 기여합니다.

주요 업무
• 시스템 설계 및 개발
* 안정적이고 확장 가능한 서버 아키텍처 설계
* 대규모 트래픽을 처리할 수 있는 데이터베이스 설계 및 최적화
• 노출 알고리즘 설계 및 최적화
* 사용자 맞춤형 추천 시스템 개발 및 유지
* 검색 결과 및 콘텐츠 노출 알고리즘 설계
* AI를 활용한 추천 모델 연구 및 적용
* 실시간 데이터 처리 및 개인화 전략 구현
• 플랫폼 유지 및 개선
* 서비스 성능 모니터링 및 문제 해결
* 데이터 보안 정책 수립 및 구현
* 코드 품질 및 테스트 프로세스 개선
• 협업 및 지원
* 프론트엔드, 디자인, CX 팀과 협력하여 사용자 중심 기능 구현
* 제품 로드맵에 따른 개발 일정 관리
* 기술 문서 작성 및 팀 내 지식 공유","• 5년 이상의 백엔드 개발 경험
• 데이터베이스 설계 및 최적화 경험
• 클라우드 환경(AWS, GCP, Azure 등)에서의 서비스 운영 경험
• API 설계 및 개발 경험
• CI/CD 및 테스트 자동화에 대한 이해
• 데이터 기반 의사결정 및 알고리즘 개발 경험","• 마켓플레이스 플랫폼 또는 대규모 웹 서비스 구축 경험
• 추천 시스템, 검색 엔진, 또는 머신러닝 모델 개발 경험
• 데이터 보안 및 개인정보 보호 관련 경험
• 스타트업 환경에서의 개발 경험",
경력,백엔드 개발자 (4년 이상),스토어링크,"- 스토어링크 백엔드 서비스 개발 및 운영
- 퍼그샵 백엔드 서비스 개발 및 운영
- 신규 서비스의 DB 모델링, 도메인 분석, 설계, 개발 및 운영","[ 어떤 조건이 필요한가요? ]
- 웹 어플리케이션 백엔드 개발 4년 이상 경력이 있는 분 (필수)
- Java/Kotiln 중에서 하나 이상의 프로그래밍 언어에 능숙하신 분
- Spring Framework(Spring Boot) 를 이용한 웹 애플리케이션 개발 경험과 문제해결 능력이 있으신 분
- REST API 설계 및 개발 경험이 있으신 분
- ORM 기술에 거부감이 없고 능숙하게 다룰 수 있는 분
- RDBMS 기반의 웹어플리케이션 모델링/개발 능력이 있으신 분

[주요 기술 스택]
- Spring Boot, Webflux/MVC, Kotlin/Java, JPA, MySQL, JDBC/R2DBC, Redis, Gradle
- 환경 : AWS, Elastic Beanstalk, Aurora Serverless, Elastic Cache, Jenkins, Github Actions
- 협업 도구: Github, Notion, JIRA, Swagger, Figma, Discord
- 개발 도구 : IntelliJ","[ 이런 점이 있으면 더욱 좋아요! ]
- Spring Webflux 사용 경험이 있으신 분
- 운영 도중 발생한 장애를 겪고 스스로 고민해 해결해보신 분
- 객체지향 프로그래밍 원리와 SOLID 원칙을 깊이 이해하고 적용할 수 있는 분
- 테스트 코드 작성과 코드 리뷰 및 피드백을 긍정적으로 받아들일 수 있는 자세를 가진 분
- 지속적인 학습과 성장을 추구하는 자기주도적인 열정을 가진 분",
