경력,공고명,기업명,주요 업무,자격 요건,우대사항,기술
경력,서버 백엔드 개발자 (Node.js),티피씨인터넷,"• LLM을 이용한 챗봇 개발
• 인하우스 오퍼레이션 툴 및 서비스 관리 페이지 개발
• 보다 나은 개발, 빌드, 배포 환경을 위한 개선
• 관련 Test Code 작성
• 최적화 작업
• 통계 작업
: 서비스 마케팅, 운영에 도움을 줄 수 있는 지표 추출
: 컨텐츠 모니터링 보안 강화","• 3~5년의 관련 경력이 있으신 분
• 전산 관련 전공자 혹은 그에 준하는 지식을 보유하신 분
• 3년 이상의 JavaScript, TypeScript API 서버/백엔드 개발 경험이 있으신 분
: 혹은 이에 준하는 웹서버 개발 경험 (Django, Flask, Rails, Spring 등)
• AWS / Azure / Aliyun 등의 클라우드 서비스 사용 경험
• DAU 100 이상인 서비스 개발 및 운영 경험이 있으신 분

* 현재 Node.js 개발 환경에서의 경험이 많지 않으시더라도, 새로운 개발 환경에 적응할 수 있는 자신감 및 경험이 있으시다면 만나 뵙고 싶습니다.","• ChatGPT 등 AI 산업에 관심 있으신 분
• 블록체인 개발 경험이 있으신 분
• 대용량 데이터 및 트래픽을 고려한 개발 경험이 있으신 분
• CI/CD에 대한 이해도와 경험을 보유하신 분
• 퍼포먼스 분석 및 최적화 경험이 있으신 분
• 테스트 중요성에 대한 이해도와 테스트 자동화 경험이 있으신 분
• 트러블 슈팅 및 문제 해결 경험이 있으신 분
• Git 및 협업툴(Slack, Google Workspace 등)을 통한 업무 및 커뮤니케이션 경험이 있으신 분","Azure, Firebase, JavaScript, Node.js, TypeScript, AWS, API, NoSQL, Spring Framework"
경력,백엔드 개발자,씨디알아이(CDRI),"• 화장품 인증 B2B 서비스(certicos) 고도화 백엔드 개발 및 운영
• 화장품 커뮤니티(cosbridge) 고도화 백엔드 개발 및 운영
• 임상 서비스(cosmetest) 고도화 백엔드 개발 및 운영
• AI 부서와 협업하여 서비스에 AI 기능 개발 및 운영
• AWS 등 Cloud 기반의 서버 관리","• 상용화된 웹 / 앱 서비스 백엔드 개발 경험이 있으신 분.
• Java Springboot Framework을 사용한 개발 경험이 풍부하신 분.
• MySQL, MariaDB 사용 경험이 있으신 분.
• 프로젝트나 코드에 대한 구조 및 의도에 대해서 생각해보신 분.
• 새로운 기술에 적극적이고 능동적인 분.
• 협업에 적극적이고, 커뮤니케이션을 유연하게 잘 하시는 분.","• AWS등 Cloud 기반 서비스 운영 경험 있으신 분.
• Redis, MongoDB등 NoSQL 사용 경험.
• 데이터베이스 모델링 & 쿼리 튜닝이 가능하신 분.
• 복잡한 도메인에 대한 경험이 있으신 분
• 서비스의 초기 설계부터 개발, 출시, 운영의 경험이 있으신 분.
• 기획의 단순 면이 아닌 서비스 전체를 고려할 수 있으신 분.
• 변화하는 상황 속에서 유연하고 능동적으로 문제를 해결할 수 있는 분.
• 코드에서부터 서비스까지 결과물에 대해서 검증해보 신 분.","JIRA, Slack, MongoDB, MySQL, Redis, Java, Kotlin, AWS, NoSQL, Spring Boot"
경력,인공지능 MLOps 플랫폼 백엔드 개발자 (자바/4년 이상),텐,"＜쿠버네티스 기반 인공지능 플랫폼인 자사의 서비스 'AI Pub'의 백엔드 개발 업무＞
• Java Spring, JPA 기반으로 백엔드 서버 개발
• 기능 변경이 쉽고 이해하기 좋은 코드로 지속적 리팩토링
• 동료가 코드를 수정할 때 안정감을 줄 수 있도록 테스트 코드 기반의 개발을 진행
• 쿼리 실행 계획을 통해 튜닝 작업을 수행

## 인공지능 플랫폼 개발팀
인공지능 플랫폼 개발팀은 GPU 클라우드 기반으로 통합 인공지능 학습/운영 자동화하는 플랫폼인 AI Pub을 개발 및 유지보수합니다.
우리는 텐의 핵심 기술 R&D와 함께 이를 제품화하기 위한 서버 개발을 중심으로 하며, 제품 패키징을 완료한 후에는 고객사에 플랫폼 설치 및 서비스 유지보수도 담당하고 있는 multi-functional 팀입니다.
우리 팀은 GPU와 Docker를 기반으로 새로운 기술력을 확보하기 위해 노력하는 팀입니다. 기존 방법을 고수하기 보단 새로운 인공지능 기술에 발맞춘 최적의 도구(tool)를 찾기 위해 노력하고 그 기술력을 서비스에 녹여내고 있습니다. 새로운 분야에서 선도적으로 인공지능 MLOps의 개척가가 되실 분을 찾고 있습니다.
팀 멤버들은 2016년부터 대기업의 여러 인공지능 구축 프로젝트를 함께 성공적으로 구축 및 납품한 전문가들입니다. 인공지능에 대한 전문가이면서, NVIDIA GPU에 대한 전문가이고, Kubernetes의 전문가입니다.","• 최소 4년 이상의 Java Spring, JPA 기반 업무 경험이 있으며 문제 발생시 해결할 수 있는 이해도를 보유하신 분
• 테스트 코드의 중요성을 높게 평가하며 실천하시는 분
• RESTful API에 대한 설계나 개발 경험이 있으신 분
• OOP에 대해 객체의 역할, 책임, 협력 관점에서 설명하실 수 있으신 분
• 기초적인(인덱스 설계, 슬로우 쿼리 수정 등...) RDBMS 쿼리 튜닝이 가능하신 분
• Git과 Github의 사용법을 알고있고 기본적인 Git의 브랜치 전략을 따르실 수 있는 분",• Kubernetes를 통한 개발 경험 있으신 분 혹은 container orchestration에 대한 이해가 있으신 분,"Confluence, Git, GitHub, JIRA, Java, Docker"
신입,"이커머스 백엔드, 서버 개발 담당자",브이에이트코프,"• API 개발 및 유지보수
• 서비스 구축부터 배포 운영까지 서비스 전반에 걸친 개발
• 데이터베이스 테이블 설계 및 최적화","• javascript 기반의 설계 및 개발 능력이 있으신 분
• MySQL(Maria DB) 등의 RDBMS 경험이 있으신 분
• 데이터베이스 테이블 설계 능력이 있으신 분
• Cloud(NCP, AWS등) 시스템 하에서 개발 경험이 있는 분
• 빌드/테스트/배포 자동화 경험이 있으신 분
• HTTP, RESTful API 시스템에 대한 경험이 있으신 분
• 해외여행 및 근무에 결격사유가 없는 자","• 통신 서비스에 대한 이해가 있으신 분
• 실사용 서비스 운영경험이 있으신분
• git에대한 이해 및 소스코드 형상관리 경험
• db성능 최적화
• 대형트래픽에 대한 분산처리경험
• 쇼핑몰 서비스에대한 이해와 구축경험
• 직접 구현하고 문제해결을 하고싶어하는 마인드를 가진 분
• MongoDB 사용 경험자
• Git
• Docker
• 테스트코드에 대한 높은 이해
• MongoDB 사용 경험
• Docker 및 테스트 코드에 대한 높은 이해","Git, GitHub, MySQL, JavaScript, TypeScript, AWS, Docker, Nest.js"
신입,백엔드 개발자 (신입),바딧,"• 클라우드(AWS) 기반으로 인프라 구성 및 운영
• 백엔드 시스템 및 API 설계 및 개발
• 시스템을 운영하고 모니터링하여 이슈 추적 및 성능 개선
• 사내 서버 및 네트워크 관리","• 컴퓨터공학 등 IT/전산 관련 학과 졸업자 또는 그에 준하는 전공 및 지식을 보유한 분
• Python, javascript, Typescript 중 하나 이상의 언어를 사용하실 수 있으신 분
• MySQL, PostgreSQL 등 DBMS에 대한 경험 또는 기본적인 이해가 있으신 분
• AWS, Azure, GCP 등 클라우드 서비스의 대한 기본적인 이해가 있으신 분
• 팀원들과 항상 소통하며 문제를 해결하고 관련 지식을 나누면서 같이 성장할 수 있는 분","• 성장에 대한 욕구가 크신 분
• 스타트업 근무 경험이 있으신 분
• 개발 실무에 대한 경험이 있으신 분
• AWS 서비스를 사용하여 서버를 구축/운영한 경험이 있으신 분
• Git/Github를 사용하여 코드를 관리하고 다수의 사람들과 협업을 해보신 분
• Notion/Slack 등의 협업 툴 경험이 있으신 분","Azure, MySQL, JavaScript, Python, TypeScript, AWS, PostgreSQL, GCP"
신입,[Smartdoctor] 백엔드 개발자,전능아이티,"• SmartDoctor 서비스들의 백엔드 개발 (Spring, Node.js)
• 클라우드 서비스 구축 및 운영 (AWS)
• 여러 직군의 동료들과 협력해 신규 프로젝트를 설계 및 개발
• 서비스가 안정적으로 운영될 수 있도록 인프라 구성 및 운영","• 4년제 대학교 컴퓨터공학 관련 전공자
• 코딩 능력 및 컴퓨터공학적 지식","• 프레임워크를 활용한 백엔드 개발 경험자
• Kotlin, Java, Sping 등 사용 경험자자
• TypeScript JavaScript, Nest.js 사용 경험자
• 데이터베이스 테이블 설계 및 쿼리 튜닝 경험자",
신입,[인턴] 백엔드 개발자,넥스트그라운드,"• 집품 서비스의 전반적인 백엔드 개발 업무를 담당합니다.
(비즈니스 로직 설계, DB 관리 및 성능최적화, RestfulAPI 제작)
• 백엔드 API와 아키텍쳐에 대한 설계, 구현, 테스트, 문서화를 진행합니다.
• 서버 안정성과 API 속도향상을 위해 기능을 체크하고 개선점을 파악합니다.","• JAVA언어 기반의 Spring 개발 경험을 보유하신 분
• MySQL 혹은 PostgreSQL과 같은 RDBMS를 활용 가능하신 분
• RDBMS 구조를 설계하고 확장성 있는 DB 구조를 고민해 보신 분
• JUnit 같은 테스트 프레임 워크를 통해 테스트 코드를 작성해 보신 분
• 대학 졸업자 이상 (2025년 08월 졸업 예정자 포함)

기술스택
• Java
• Spring
• Python
• MySQL (RDS)
• Redis
• MongoDB
• 기타 인프라","• 공공데이터 관련 활용 경험이 있거나 이해도가 높으신 분
• RDBMS의 실행계획을 통해 인덱스 튜닝 / 쿼리 튜닝 등을 진행해 본 경험이 있으신 분
• 실시간으로 로그를 분석하고 오류를 찾아 서비스를 개선해 보신 경험이 있으신 분
• ElasticSearch를 이용한 검색 최적화를 경험해 보신 분
• 24/365 무중단 서비스를 경험해 보신 분",
신입,클라우드/백엔드 개발자 (전문연구요원 가능),시큐레터,"Kubernetes 기반 클라우드 서비스 개발 및 운영 (DevOps)
스프링 기반 애플리케이션 개발","Java, Kotlin 중 하나 이상 프로그래밍 언어에 익숙한 분
클라우드 환경에서 서비스 구축/운영 경험이 있는 분
3년 이상 경력","Public cloud (AWS, Azure, GCP)에서 Kubernetes 운영 경험이 있거나 CKA 소지자
Kafka, Redis 등을 이용해 application 구현 경험이 있는 분
NoSQL 사용 경험이 있는 분
Linux 시스템에 친숙하신 분
CI/CD, DevOps 시스템 활용 경험이 있는 분",
신입,[인턴][포카마켓] 백엔드 Django 개발자,인플루디오,"기술스택
• Python 3.9
• Django 3.2 + Django Rest Framework 3.13
• MySQL 8.0, PostgreSQL 16
• Redis (Valkey)
• AWS (EC2, RDS, S3, SES, CloudFront, Lambda, Elastic Beanstalk 등)
• GitHub

[백엔드 개발자는 이런 일을 해요.]
• 포카마켓 서비스 백엔드의 신규 기능 개발 및 유지보수
• 서비스 운영에 필요한 백오피스 백엔드의 신규 기능 개발 및 유지보수
• PO, PM 등과 협업하며 이슈를 소통 및 관리","[어디 이런 분 없나요?]
• 컴퓨터공학 등 IT/전산 관련 학과 졸업자 또는 그에 준하는 전공 및 지식을 보유한 분
• 개발 관련 경력 1년 이하 (신입 지원 가능)
• 최소 1개 이상의 프로그래밍 언어로 프로젝트 등 개발 경험 보유
• SQL 지식을 실무에 응용 가능한 수준으로 보유
• 긍정적인 마인드와 성장에 대한 열정을 가지신 분
• 문제를 해결하기 위해 적극적으로 소통할 수 있는 분
• 동료를 존중하며 함께 성장할 수 있는 분","[이런 경험 가지신 분, 격하게 환영합니다!]
• Python, Django, Django Rest Framework 개발 경험
• Linux 사용 경험
• 타 직군과의 협업 프로젝트 경험
• 책임감을 가지고 업무를 완수하려는 의지
• 논리적이고 적극적인 커뮤니케이션 역량
• K-POP 및 엔터테인먼트 업계에 대한 관심",
신입,Back-End Developer (Node.JS),택스캔버스,"• Nest.js 기반의 서버를 구축하고 유저에게 직접 제공되는 서비스를 개발 합니다.
• AWS 중심의 Cloud 인프라를 운영하고 관리합니다.
• 기존 서비스를 개선하고 장애 발생 시 빠르게 대응합니다.
• 다양한 포지션의 팀원들과 협력하여 서비스를 설계합니다.","• TypeScript에 대한 이해가 있으신 분
• Node.js 기반의 프레임워크를 활용한 백엔드 경험이 있으신 분
• MySQL, PostgreSQL 등의 RDBMS 경험이 있으신 분
• AWS와 같은 Cloud 환경에 대한 기본적인 이해가 있으신 분","• Prisma 또는 TypeORM 등 ORM 사용과 도메인 모델링 경험이 있으신 분
• 대용량 데이터/트래픽 서비스 개발 및 운영 경험이 있으신 분
• AWS와 같은 Cloud 환경에서 빌드, 배포, 모니터링 등의 운영 경험이 있으신 분
• Linux, Docker의 이해와 활용도가 높으신 분
• Unit/E2E 등 다양한 테스트 수행과 코드 커버리지 개선에 대한 경험이 있으신 분","GitHub, Redis, JavaScript, TypeScript, AWS, Docker, PostgreSQL, Nest.js"
신입,[신입] 백엔드/서버 개발자,이글로벌시스템,"• 각 OS(Linux/Unix, Windows)에 자체 암호화 모듈을 사용하여, DB혹은 API용 암/복호화 개발","• 컴퓨터공학, SW개발학과 전공 필수
• 업무 협업하는 데 문제가 없는 분","• Linux/Unix에서 C개발 가능하신 분
• 암/복호화에 대한 이해가 있으신 분
• C/S 프로그래밍 가능자 (소켓 프로그래밍)
• 오픈소스 활용 경험이 있으신 분
• 클라우드 환경에서 개발경험이 있으신 분","Git, Linux, C, C++, Java, SQL, UNIX, Docker"
"신입, 경력",서버개발자,코나투스(반반택시),• 반반택시 및 관련 서비스 개발 및 운영,"• 신입 혹은 3년 이하의 개발 경력을 보유하신 분
• Java, Spring Framework 기반 개발 및 운영 경험이 있으신 분
• RDBMS, NoSQL의 이해 및 사용 경험이 있으신 분
• Git 등 버전 관리 시스템 경험이 있으신 분
• 서버 API 설계/연동 경험이 있으신 분","• AWS, GCP 등 클라우드 환경에서 개발 및 운영 경험이 있으신 분
• HTML, CSS, Javascript에 대한 기본 지식을 갖추신 분
• Vue, React 등 SPA 프레임워크를 이용한 개발이 가능하신 분
• 자기주도적이고 원활한 커뮤니케이션 능력을 갖추신 분
• 새로운 기술을 배우고 적용하는 데 거부감이 없으신 분","Git, React, VueJS, CSS, Java, AWS, NoSQL, RDBMS, Spring Framework, GCP, API 개발"
"신입, 경력",백엔드(JAVA) 개발자,디웨일,"• Spring 기반의 서버 개발
• AWS 기반의 인프라 운영
• 각종 외부 서비스 연동 (Slack, Google 등)","• Spring 기반의 웹 어플리케이션 개발 경험
• RDB사용 경험
• 지속적인 성장을 함께 하실분
• 6개월내 지원이력이 없는분","• 컴퓨터공학 전공 또는 그에 준하는 관련 전공자
• AWS, GCP, Azure 등 하나 이상의 클라우드 서비스 이용 경험
• JPA, Hibernate 등 ORM 사용과 도메인 모델링 경험
• 코드 리뷰 문화 경험","MySQL, Spring Framework"
"신입, 경력",웹 백엔드 엔지니어 (신입가능),바이오리서치에이아이,"• 고가용성, 고확장성 아키텍처 및 API 설계, 개발, 테스트 및 운영
• 기획단의 요구를 평가, 분석하여 적합한 솔루션 제안 및 결정
• 잠재적인 기술 문제에 대한 예측, 제안 및 수정
• Database 관리
• 대용량 바이오 데이터의 효율적인 데이터 관리
• 서버 및 데이터 보안
• 기술 자료 작성 및 정리","• 0~3년차 백엔드 직군 관련 경험 혹은 그에 준하는 실력이 있으신 분
• Spring Framework + Kotlin,Java 에 대한 이해가 있으신 분
• JPA, Querydsl 을 사용해 보신 분
• 관계형 데이터 베이스 에 대한 이해가 있으신 분
• Git, Github를 통한 버전 관리 및 협업의 경험자
• 객체지향 설계 및 개발 능력 보유자
• 빠른 페이스의 스타트업 조직에서 비즈니스 목적에 맞는 설계 및 개발이 가능하신 분
• 문서 정리를 좋아하시는 분
• 주도적인 일정관리에 능하신 분
• 새로운 기술에 관심이 많고 꾸준히 스스로 학습하시는 분
• 긍정적 사고와 책임감을 바탕으로 원활한 커뮤니케이션을 하시는 분
• 개발 지식을 공유하는 것을 좋아하시는 분
• 개발에 대해 수다 떠는 것을 좋아하시는 분","• 젠킨스를 이용한 빌드/테스트/배포 자동화에 관심 있으신분
• Jira 및 Jira Confluence 사용해보신 분
• Kafka 를 사용해보시거나 운영해보신 분
• 단위 테스트에 관심이 있거나 경험해보신 분
• Open API 사용 경험이 있으신 분
• Open Search 에 잘 아시는 분
• 디자인 패턴에 대해서 잘 아시는 분
• MSA 에 대해서 잘 아시는 분
• AWS에 대해서 잘 아시는 분
• 리펙토링을 많이 해보신 분
• 자동화, 성능 최적화, 테스팅 등 관심이 있고 기여한 경험이 있으신 분
• 컴퓨터 공학 관련 전공자
• 강남구 일자리 교육 수료자",Java
"신입, 경력","[심스테크] 백엔드 개발자(Java, APIs, Spring)",심스테크,"• 다양한 웹 페이지와 연계되는 서비스 API 개발 및 유지보수
• 스마트 의료자산 관리 백엔드 개발
• 신규 사업 백엔드 개발","이런 기술을 사용합니다.
Java
Spring
Maria DB
Nginx, Cloud

• Spring 사용에 능숙하신 분
• Java, API's, SQL, Socket 등 능숙하게 개발하실 수 있는 분
• 동료와 팀워크를 기반으로 함께 기술적으로 성장하고자 하는 마인드를 가진 분
• 새로운 것을 배우는 것에 대한 주저함이 없는 분
• 단순히 주어진 개발을 해내는 것보다, 주도적으로 문제를 발견하고 분석해 솔루션을 제안할 수 있는 분","• Linux 환경 개발 경험 있으신 분
• Open Source 툴 라이브러리 사용 경험 있으신 분 (Web, Was Server, Zenkins, Yolo 등)
• 테스트 코드 작성에 익숙하고 코드 리뷰 문화를 지향하는 분 테스트 코드 작성에 익숙하고 코드 리뷰 문화를 지향하는 분
• 요구사항 분석 및 다른 개발자와 협업을 위한 원활한 커뮤니케이션 능력을 가지신 분
• 성능 이슈, 메모리 누수 최적화 경험이 있으신 분",
"신입, 경력",[프로그래머스] 백엔드 개발자(감독솔루션팀),그렙(프로그래머스),"- 프로그래머스와 모니토의 온라인 평가 및 감독 서비스의 개발 및 운영
- 확장성, 보안성 높은 고성능 평가 서비스 개발
- 데이터베이스 설계 및 최적화
- 서비스 모니터링 및 트러블슈팅
- 내부 운영팀을 위한 백오피스 (admin) 기능 개발","- 웹 서비스 개발 경험
- RDBMS를 이용한 설계, 개발, 운영 경험
- 코드 리뷰, 동료의 피드백에 긍정적으로 커뮤니케이션 할 수 있는 분
- 제품 중심, 문제 중심의 사고를 하며 문제 해결을 즐기시는 분","- Ruby 또는 Python 기반의 웹 프레임워크 개발 경험 (예. Ruby on Rails, Django 등)
- AWS를 사용하여 실제 서비스를 적용해 본 경험
- CI/CD 파이프라인 구축 및 운영 경험
- 성능 최적화에 대한 경험
- WebRTC를 이용하여 서비스를 개발해 본 경험",
"신입, 경력",백엔드 개발자 / 이미지 프로세싱,미리디,"• Java 17, Spring Boot 3.1, PostgreSQL, JPA & Querydsl, AWS 기반의 서비스들 백엔드 개발 / 운영
• 기존 서비스중인 미리디 MSA 개발 / 운영 (3D & AR 목업, 배경제거, AI 이미지 만들기)
• 신규 서비스를 위한 조사 / 개발 / 운영 등","• 객체 지향 프로그래밍에 대한 이해
• Java, Spring Framework 개발 경험 및 이해
• 자료구조, 운영체제, 컴퓨터 아키텍처, 네트워크 환경에 대한 이해
• 기본적인 Git 사용","• 관련학과 전공
• AWS 등 클라우드 개발 환경 경험
• Node.js, Typescript, Python 개발 경험
• CI/CD 구축 경험
• Docker 활용한 개발 환경 구성 경험
• linux & shell script 작성 경험
• pytorch / tensorflow 를 활용한 서비스를 구성해본 경험
• AI 를 활용한 이미지 처리 경험
• 2d / 3d 편집 도구 활용
• 프론트엔드 개발 경험
• 새로운 기술들을 적극적으로 학습 / 활용하기 위해 항상 배우려는 의지",
"신입, 경력",Backend Server 개발(병역특례/산업기능요원/보충역/전직),세나클,"• 의료정보시스템과 개인건강기록 서비스의 Backend Server 개발 및 운영

| 사용기술스택
Java / Spring framework / Kubernetes","• 컴퓨터 공학이나 그와 유사한 학과 졸업 예정 혹은 학사 이상 학위를 소지하신 분
• Java에 능숙하며 Spring 등 framework 사용 경험이 있으신 분
• MSA 기반 System Architecture 설계 경험이 있으시거나 관심이 있으신 분
• Linux 환경에서의 시스템 개발 및 운영 경험이 있으신 분
• Client-Server 개발 모델에 익숙하며 RESTFul 개발 경험이 있으신 분
• Git 등 분산 버전 관리 시스템에 익숙하고 코드 리뷰를 활발히 해보신 분","• 헬스케어 서비스 개발을 경험하신 분
• AWS, Azure 등 클라우드 컴퓨팅 환경의 개발을 경험하신 분
• 대용량 트래픽 처리를 위한 Server Architecture 설계를 경험하신 분
• Hadoop, Kafka, Elasticsearch 등의 분산 시스템을 활용한 대용량 데이터 처리를 경험하신 분",
"신입, 경력",백엔드 개발자,아바티(AVATYE),"광고 플랫폼 개발 및 운영
신규 서비스 개발","(1) Web Application 신입 및 경력
- Typescript(node.JS)
- HTML / javascript / css
- HTTP(RESTful) API
- react 기반 frontend (next.JS등)
(2) RDBMS, NoSQL 사용 경험이 있으신 분
(3) 원활한 커뮤니케이션이 가능하신 분","(1) AWS 및 devops 경험이 있는 분
(2) 백엔드 개발에 대한 관심과 이해가 있는 분
(3) 문제 원인 파악 역량이 뛰어나신 분
(4) JIRA, Confluence, Bitbucket 등 협업툴 사용 경험이 있으신 분
(5) 모바일 광고 비지니스에 대한 이해가 있으신 분",
"신입, 경력",백엔드 개발자(Backend Developer),크리스비,"• 크리스비 웹 솔루션을 위한 API를 개발/개선/유지보수 합니다.
• 고객사의 사업 성과 데이터를 수집하는 시스템을 개발/개선/유지보수 합니다. 이를 위해 크리스비 시스템과 다른 외부 판매/마케팅 플랫폼(예: 페이스북, 스마트스토어, 쿠팡 등)을 API 및 웹스크랩핑 기술을 사용해 연동합니다.
• 다양한 외부 플랫폼에서 수집된 사업 성과 데이터를 정형화된 하나의 형태로 통합하고, 이를 시각화 차트에 맞게 분석하는 데이터 분석 시스템을 개발/개선/유지보수 합니다.
• 고객사 데이터를 활용한 AI 기반 신규 기능(예: 사업 성과 예측, LLM 기반 챗봇 등)을 개발/개선/유지보수 합니다.
• 고객이 편리하고 직관적으로 사용할 수 있도록 지속적으로 문제를 정의하고, 최선의 방향으로 Backend를 최적화합니다.
• 고객이 문제없이 사용할 수 있도록 솔루션의 결함을 지속적으로 감지하고, 개선하는 작업을 수행합니다.
• 크리스비의 기술력, 크리스비의 개발자들이 지속적으로 성장할 수 있도록 개발 프로세스 및 문화, 교육, 노하우를 축적할 수 있는 기반을 만들어 나가는데 기여합니다.
• 크리스비의 웹사이트 및 기술 블로그를 개발하고 운영합니다.","• 2년 이내의 백엔드 개발 경험을 가지신 분(신입이신 분들도 지원 가능)
• Python 언어를 사용한 개발에 익숙하신 분
• Python & Django 혹은 JAVA & Spring을 사용한 개발에 익숙하신 분
• 웹에 대한 기본적인 지식을 갖추신 분
• Git을 통한 버전관리 및 협업에 익숙하신 분
• 고객의 문제를 해결하는 것을 최우선에 두고, 이를 개발에 녹일 수 있으신 분
• 논리적 사고를 바탕으로 명확하게 커뮤니케이션하고, 설득력이 있으신 분
• 맡으신 업무에 대해 ownership을 가지고 책임감 있게 완수하실 수 있는 분
• 협업을 위해 커뮤니케이션을 원활하게 하실 수 있는 분
• 자신이 틀릴 수도 있다는 것을 수용하고, 더 좋은 것을 받아들여 지속적으로 성장 가능하신 분","• 이공계 전공, 학사 이상
• 데이터 분석 도구(예: Polars, Pandas 등)에 대한 사용 경험이 있으신 분
• 외부 시스템 연동 경험이 있으신 분 (예: 페이스북, 구글 등)
• 빠르게 변화하는 기술과 환경을 배우고 성장하는데 열정이 있으신 분 (꼭 직접 다룬 경험은 없더라도 어떤 상황에서 어떤 기술을 사용하면 좋을지에 대한 감이 있으신 분)","GitHub, Django, Python, AWS, Docker, PostgreSQL"
"신입, 경력",Server Developer (3년 이하),토스페이먼츠,"[합류하면 함께할 업무예요]
* 합류하게 될 팀은 인터뷰 과정을 거치며 본인의 강점과 백그라운드를 고려해 조율돼요.

• 지속적으로 증가하는 결제 요청량과 다양한 요구사항을 쉽게 구현할 수 있도록 확장성과 유연성이 높은 시스템을 만들어요.
• 선착순 결제와 같은 이벤트를 진행하여 수십배의 트래픽이 순간적으로 발생해도 무너지지 않는 시스템을 만들어요.
• 수많은 거래건을, 수백가지 요구사항으로 계산해도 빠르게, 오차없이 계산이 가능한 정산 시스템을 만들어요.
• 자유로운 무중단 배포가 가능한 MSA 환경에서 사업자의 비즈니스 어려움을 해결할 새로운 API 를 만들어요.
• 토스페이먼츠와 고객사 시스템의 접점이 되는 OpenAPI 와 OpenAPI 를 지탱하기 위한 생태계를 만들어요.","[이런 분들이 지원하실 수 있어요]
•개발 실무 경력 3년 이하인 분
•해외여행에 결격사유가 없는 분
•최근 6개월 내 토스커뮤니티 지원 이력이 있는 분들은, 업데이트된 이력서를 제출해주시거나 6개월 이후 재지원 해주시길 부탁드려요.","[이력서는 이렇게 작성하시는 걸 추천해요]
•(해결해 본 문제의 규모와 상관없이) 개발과 관련한 문제 상황을 개선하거나 해결해 보신 사항을 최대한 구체적으로 작성해 주세요.
•레거시 코드를 리팩토링 해보신 경험이 있다면 좋아요.
•기술자로서 비즈니스의 문제를 해결했던 경험과 그 과정에서 활용하셨던 기술적 장점이 드러나는 사례를 자세히 적어주시면 좋아요.

[토스페이먼츠가 사용하는 기술]
• Java, Kotlin, Gradle
• Spring MVC, Spring Webflux, Spring Batch, JPA, Spring Cloud Gateway, Spring Cloud Config, Netty
• MySQL, Redis, ElasticSearch, Kafka, Oracle",
"신입, 경력",Python Backend Engineer,에임(AIM),"[Team Mission]
• AIM 2.0 System Design & Development
• Launch AIM 2.0 in English & Spanish-speaking regions(EU and LatAm)
• ARR $100,000,000 by 2027","[Qualifications]
• Track record of success in two distinct domains
• Bachelor's degree in respective fields
• 10x growth experience at (Fintech) startup(s)
• Customer Obsession and One-Team ethos",,"GitHub, Django, Flask, Linux, MySQL, JavaScript, Python, AWS, Docker, RabbitMQ, Spring Boot, Flutter, FastAPI"
"신입, 경력",＜RE: IW＞ Server,보이저,"개발환경

• MS Azure
• Unity DOTS
• [ASP.Net](http://ASP.Net) 기반의 RestfulAPI서버
• MySQL","• 자료 구조 및 알고리즘에 대한 지식을 갖추신 분
• C++ 또는 C# 언어로 네트워크 프로그래밍 경험이 있으신 분
• RESTful에 대한 지식을 갖추신 분
• 기존 코드를 파악하여 안정적이고 효율적으로 리팩토링 가능하신 분
• RDBMS 및 NoSQL에 대해 경험이 있으신 분","• Unity 프로그래밍 경험 우대
• 클라우드(AWS, Azure 등) 환경 구축 및 활용 경험 우대
• 원활한 의사소통 능력을 갖추신 분","GitHub, Linux, C, C++, Docker"
"신입, 경력",백엔드 엔지니어,미르니,"온체인 데이터 기획에서부터, 데이터 시각화까지 전 과정을 맡아서 진행합니다.
• 온체인 데이터 기획 (예: 디파이 구조 조사)
• 온체인 데이터 인덱싱 (예: EVM Subgraph 인덱싱)
• 온체인 데이터 가공 (예: SQL 쿼리 작성)
• 온체인 데이터 시각화 (예: 데이터 프레임워크를 활용한 Javascript)","• 온체인 데이터 탐구에 대한 관심
• SQL 사용 경험
• Javascript 사용 경험","• 노드인프라에서 운영중인 베라체인 BGTscan에 대한 깊이 있는 이해
• 온체인 데이터 분석 경험 (예: Dune Analytics)
• EVM 등 블록체인 데이터 인덱싱 경험
• 최신 글로벌 블록체인 기술, 금융상품, 인센티브 구조에 대한 리서치 경험",